Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,27.84749984741211,27.860000610351562,26.837499618530273,27.332500457763672,24.214889526367188,212818400,0.0,0.0
2015-01-05 00:00:00-05:00,27.072500228881836,27.162500381469727,26.352500915527344,26.5625,23.5327205657959,257142000,0.0,0.0
2015-01-06 00:00:00-05:00,26.635000228881836,26.857500076293945,26.157499313354492,26.565000534057617,23.53493881225586,263188400,0.0,0.0
2015-01-07 00:00:00-05:00,26.799999237060547,27.049999237060547,26.674999237060547,26.9375,23.86494255065918,160423600,0.0,0.0
2015-01-08 00:00:00-05:00,27.3075008392334,28.037500381469727,27.174999237060547,27.97249984741211,24.78188705444336,237458000,0.0,0.0
2015-01-09 00:00:00-05:00,28.167499542236328,28.3125,27.552499771118164,28.002500534057617,24.8084774017334,214798000,0.0,0.0
2015-01-12 00:00:00-05:00,28.149999618530273,28.157499313354492,27.200000762939453,27.3125,24.197172164916992,198603200,0.0,0.0
2015-01-13 00:00:00-05:00,27.857500076293945,28.200000762939453,27.227500915527344,27.55500030517578,24.41201400756836,268367600,0.0,0.0
2015-01-14 00:00:00-05:00,27.260000228881836,27.622499465942383,27.125,27.450000762939453,24.318992614746094,195826400,0.0,0.0
2015-01-15 00:00:00-05:00,27.5,27.514999389648438,26.665000915527344,26.704999923706055,23.65896224975586,240056000,0.0,0.0
2015-01-16 00:00:00-05:00,26.75749969482422,26.895000457763672,26.299999237060547,26.497499465942383,23.475126266479492,314053200,0.0,0.0
2015-01-20 00:00:00-05:00,26.959999084472656,27.24250030517578,26.625,27.18000030517578,24.079788208007812,199599600,0.0,0.0
2015-01-21 00:00:00-05:00,27.237499237060547,27.764999389648438,27.0674991607666,27.387500762939453,24.263620376586914,194303600,0.0,0.0
2015-01-22 00:00:00-05:00,27.565000534057617,28.11750030517578,27.43000030517578,28.100000381469727,24.894851684570312,215185600,0.0,0.0
2015-01-23 00:00:00-05:00,28.075000762939453,28.4375,27.88249969482422,28.2450008392334,25.02330780029297,185859200,0.0,0.0
2015-01-26 00:00:00-05:00,28.434999465942383,28.59000015258789,28.200000762939453,28.274999618530273,25.049884796142578,222460000,0.0,0.0
2015-01-27 00:00:00-05:00,28.104999542236328,28.1200008392334,27.25749969482422,27.28499984741211,24.172807693481445,382274800,0.0,0.0
2015-01-28 00:00:00-05:00,29.407499313354492,29.530000686645508,28.827499389648438,28.827499389648438,25.539371490478516,585908400,0.0,0.0
2015-01-29 00:00:00-05:00,29.079999923706055,29.797500610351562,28.889999389648438,29.725000381469727,26.334505081176758,337745600,0.0,0.0
2015-01-30 00:00:00-05:00,29.600000381469727,30.0,29.212499618530273,29.290000915527344,25.949119567871094,334982000,0.0,0.0
2015-02-02 00:00:00-05:00,29.512500762939453,29.792499542236328,29.020000457763672,29.657499313354492,26.274700164794922,250956400,0.0,0.0
2015-02-03 00:00:00-05:00,29.625,29.772499084472656,29.40250015258789,29.662500381469727,26.27912712097168,207662800,0.0,0.0
2015-02-04 00:00:00-05:00,29.625,30.127500534057617,29.577499389648438,29.889999389648438,26.480674743652344,280598800,0.0,0.0
2015-02-05 00:00:00-05:00,30.0049991607666,30.0575008392334,29.8125,29.985000610351562,26.6696834564209,168984800,0.1175,0.0
2015-02-06 00:00:00-05:00,30.0049991607666,30.0625,29.612499237060547,29.732500076293945,26.44510269165039,174826400,0.0,0.0
2015-02-09 00:00:00-05:00,29.637500762939453,29.959999084472656,29.607500076293945,29.93000030517578,26.620769500732422,155559200,0.0,0.0
2015-02-10 00:00:00-05:00,30.042499542236328,30.537500381469727,30.040000915527344,30.5049991607666,27.132186889648438,248034000,0.0,0.0
2015-02-11 00:00:00-05:00,30.6924991607666,31.229999542236328,30.625,31.219999313354492,27.76813316345215,294247200,0.0,0.0
2015-02-12 00:00:00-05:00,31.514999389648438,31.8700008392334,31.392499923706055,31.614999771118164,28.11946678161621,297898000,0.0,0.0
2015-02-13 00:00:00-05:00,31.81999969482422,31.81999969482422,31.412500381469727,31.770000457763672,28.25732421875,217088800,0.0,0.0
