Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2015-01-02,39.7676887512207,40.32899477025131,39.580588907718614,39.68264366274359,27913900
2015-01-05,39.40198516845703,39.74216870526906,39.33394651453768,39.436001251155126,39673900
2015-01-06,38.823665618896484,39.75917430483516,38.73011410145037,39.444503673275605,36447900
2015-01-07,39.31694793701172,39.51255425579138,38.687606432114116,39.10433194995611,29114100
2015-01-08,40.47356033325195,40.6096343710074,39.733657955723004,39.7591708239706,29645200
2015-01-09,40.133392333984375,40.669185526891724,39.88676025595875,40.490588877343434,23944200
2015-01-12,39.63161849975586,40.43105668358628,39.42750896994649,40.32899867441911,23651900
2015-01-13,39.4275016784668,40.745719899265985,39.17236319125758,39.946285107540604,35270600
2015-01-14,39.087318420410156,39.32545050848688,38.7981605768087,39.087318420410156,29719600
2015-01-15,38.679080963134766,39.44449943799835,38.61954877556325,39.30842540294048,32750800
2015-01-16,39.32544708251953,39.3594631684852,38.41544784237261,38.53451549816908,35695300
2015-01-20,39.45302200317383,39.67414444629811,38.755641825804936,39.37648011813273,36161900
2015-01-21,39.05330276489258,39.240405870802014,38.6790997973362,39.070312433090024,39081100
2015-01-22,40.082366943359375,40.09087015539904,39.1893804431197,39.44451897972211,35898000
2015-01-23,40.1248779296875,40.30347452941849,39.80170081284459,40.2779616563888,26211600
2015-01-26,39.98029708862305,40.082355068438005,39.325442894915575,39.97179387910258,42525500
2015-01-27,36.28077697753906,36.74002809929224,35.813022647276895,36.52741219969479,169164000
2015-01-28,35.03059387207031,36.391337553611365,35.00508100270291,36.34881502324532,84507100
2015-01-29,35.72798156738281,35.82153310120963,34.69041797358257,34.80948238235786,63585300
2015-01-30,34.35874938964844,35.362297241973955,34.31622359115401,35.33678111402471,78004900
2015-02-02,35.107147216796875,35.18368909421626,34.214160809745515,34.520328319423044,50352500
2015-02-03,35.37928771972656,35.65994229081227,34.91153334551186,35.40480383617347,52082400
2015-02-04,35.58340835571289,35.89807907838063,35.17518608851258,35.6684534447813,41614800
2015-02-05,36.102195739746094,36.263782724161864,35.60042187372996,35.90658941831777,36548200
2015-02-06,36.06817626953125,36.39135348143183,35.847057068291406,36.29780192712409,34616600
2015-02-09,36.0256462097168,36.348823354239514,35.898075345118876,35.92359146459557,31381100
2015-02-10,36.22976303100586,36.374343589756656,35.87256972867303,36.348830709379314,29670700
2015-02-11,36.04265594482422,36.27228155499068,35.89807541504748,36.27228155499068,38262500
2015-02-12,36.646480560302734,36.646480560302734,36.1532100624745,36.28078091377809,33268800
2015-02-13,37.30984115600586,37.30984115600586,36.69750950556465,36.893115764869904,40264900
2015-02-17,37.32697296142578,37.686708152737744,36.99292894004376,37.6610137154582,33695700
2015-02-18,37.28414535522461,37.42975479346381,37.16423362217449,37.36979892693875,27111700
2015-02-19,37.258460998535156,37.284155443326796,36.87302798990778,36.98437602958915,27603400
2015-02-20,37.566802978515625,37.58393369547487,37.07858898090292,37.2670203327542,29721100
2015-02-23,37.81519317626953,37.849451342568656,37.38693505770408,37.4297602160906,32518800
2015-02-24,37.763797760009766,37.943665370088404,37.61818831326764,37.81518990603932,25271700
2015-02-25,37.67814636230469,37.763796669196715,37.51540620492015,37.64388493260797,29759800
2015-02-26,37.73809814453125,37.88370430395225,37.59248871776083,37.67814228272855,28957300
2015-02-27,37.558231353759766,37.85801396254465,37.39549446374495,37.79805809425763,33807700
2015-03-02,37.58393096923828,37.8494488944711,37.3012790609389,37.40406008788871,31924000
2015-03-03,37.07001876831055,37.5411052753888,36.90728187236071,37.3098455175549,31748600
2015-03-04,36.881595611572266,37.010071105070374,36.727422405494046,36.83876717972228,25748700
2015-03-05,36.92441177368164,37.03575978811319,36.67602130585351,36.89015034349504,23193500
2015-03-06,36.282020568847656,36.92440760932343,36.10215298167831,36.830190320611074,36248800
2015-03-09,36.701698303222656,36.94152493320723,36.13639804318831,36.13639804318831,32108000
2015-03-10,35.99938201904297,36.581813412572934,35.99938201904297,36.273466996309935,39159700
2015-03-11,35.9565544128418,36.290595251998084,35.83664265184728,36.23920636434354,32215300
2015-03-12,35.13429641723633,35.67390256114964,34.99725395007503,35.39981762682704,59992500
2015-03-13,35.44263458251953,35.51972115666661,34.78311684089436,34.86020341504144,58007700
2015-03-16,35.59682846069336,35.66534808464364,35.35700160848916,35.51974184165474,35273500
2015-03-17,35.71671676635742,35.828064757826105,35.245633634165664,35.43406492663288,31673400
2015-03-18,36.401939392089844,36.684591313344704,35.399816981859175,35.485467297018175,44194800
2015-03-19,36.222068786621094,36.479022978285606,36.1621129174777,36.19637108030977,33879100
2015-03-20,36.727420806884766,36.813071132155464,36.3933799640384,36.45333584519798,71904500
2015-03-23,36.710289001464844,36.941548793669284,36.64176612939669,36.72741971948188,26246100
2015-03-24,36.74456024169922,36.97581682825727,36.616081455965855,36.64177590617203,25513300
2015-03-25,35.51116180419922,36.77024169695081,35.49403108766551,36.761674705008915,43469900
2015-03-26,35.29701614379883,35.639623778600054,35.04862577193537,35.30558313171056,37495600
2015-03-27,35.091461181640625,35.485457753166365,34.97154946572837,35.21993661982552,34401400
2015-03-30,35.082908630371094,35.57968967771377,35.040083466684784,35.20282039563297,35049700
2015-03-31,34.825958251953125,35.14286841927833,34.72317719421134,34.92873930969491,34887200
2015-04-01,34.87733840942383,34.91159657197853,34.526166921277266,34.77455411971035,36865300
2015-04-02,34.509037017822266,34.89446994493697,34.36342757097899,34.82594708351664,37487500
2015-04-06,35.58824920654297,35.78524755014815,34.41482286969902,34.55186533774393,39223700
2015-04-07,35.57110595703125,35.89658292922058,35.38267467195239,35.639628800586486,28809400
2015-04-08,35.47690200805664,35.70816179090699,35.151428180948955,35.5111634427049,24753400
2015-04-09,35.528289794921875,35.64820153410782,35.33129147092355,35.33129147092355,25723900
2015-04-10,35.733856201171875,35.93085453118462,35.468335008189506,35.65676961400602,28022000
2015-04-13,35.76812744140625,36.025085004130844,35.4512172526907,35.45978424736879,30276700
2015-04-14,35.67389678955078,35.99937055430737,35.45120077434931,35.80237224384429,24244400
2015-04-15,36.196380615234375,36.367684543919225,35.69960281613406,35.768122427197596,27343600
2015-04-16,36.110713958740234,36.26488709811911,35.81949839184115,35.93084638524794,22509700
2015-04-17,35.64820861816406,35.750992929905884,35.254211891871904,35.691033781047906,42387600
2015-04-20,36.75310516357422,36.97579790856706,35.69959076861469,35.742415919496054,46057700
2015-04-21,36.521846771240234,36.95867182140513,36.42762947542625,36.830193096686116,26013800
2015-04-22,36.821632385253906,36.941544128880956,36.44476317116894,36.54754419894213,25064300
2015-04-23,37.12141418457031,37.35267396277477,36.658894628161384,36.73598122089621,46309500
2015-04-24,41.00142288208008,41.232682610388736,39.099959450457995,39.10852317342522,130933700
2015-04-27,41.13847732543945,41.224130916853234,40.4447012054152,40.45326493088136,59248200
2015-04-28,42.106346130371094,42.14917129693864,40.85583296943448,40.9243525824724,60730800
2015-04-29,42.02070236206055,42.23483149570208,41.54105192645706,41.729486609614014,47804600
2015-04-30,41.660945892333984,42.43181175054036,41.626684461447056,41.71233803866437,64725500
