Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2015-01-02 00:00:00-05:00,206.3800048828125,206.8800048828125,204.17999267578125,205.42999267578125,170.12498474121094,121465900,0.0,0.0,0.0
2015-01-05 00:00:00-05:00,204.1699981689453,204.3699951171875,201.35000610351562,201.72000122070312,167.0526123046875,169632600,0.0,0.0,0.0
2015-01-06 00:00:00-05:00,202.08999633789062,202.72000122070312,198.86000061035156,199.82000732421875,165.47915649414062,209151400,0.0,0.0,0.0
2015-01-07 00:00:00-05:00,201.4199981689453,202.72000122070312,200.8800048828125,202.30999755859375,167.5411834716797,125346700,0.0,0.0,0.0
2015-01-08 00:00:00-05:00,204.00999450683594,206.16000366210938,203.99000549316406,205.89999389648438,170.5142059326172,147217800,0.0,0.0,0.0
2015-01-09 00:00:00-05:00,206.39999389648438,206.4199981689453,203.50999450683594,204.25,169.1478271484375,158567300,0.0,0.0,0.0
2015-01-12 00:00:00-05:00,204.41000366210938,204.60000610351562,201.9199981689453,202.64999389648438,167.82278442382812,144396100,0.0,0.0,0.0
2015-01-13 00:00:00-05:00,204.1199951171875,205.47999572753906,200.50999450683594,202.0800018310547,167.35073852539062,214553300,0.0,0.0,0.0
2015-01-14 00:00:00-05:00,199.64999389648438,201.10000610351562,198.57000732421875,200.86000061035156,166.34046936035156,192991100,0.0,0.0,0.0
2015-01-15 00:00:00-05:00,201.6300048828125,202.00999450683594,198.8800048828125,199.02000427246094,164.8166046142578,176613900,0.0,0.0,0.0
2015-01-16 00:00:00-05:00,198.77000427246094,201.82000732421875,198.5500030517578,201.6300048828125,166.97808837890625,211879600,0.0,0.0,0.0
2015-01-20 00:00:00-05:00,202.39999389648438,202.72000122070312,200.1699981689453,202.05999755859375,167.33412170410156,130991100,0.0,0.0,0.0
2015-01-21 00:00:00-05:00,201.5,203.66000366210938,200.94000244140625,203.0800018310547,168.1788787841797,122942700,0.0,0.0,0.0
2015-01-22 00:00:00-05:00,203.99000549316406,206.25999450683594,202.3300018310547,206.10000610351562,170.6798553466797,174356000,0.0,0.0,0.0
2015-01-23 00:00:00-05:00,205.7899932861328,206.10000610351562,204.80999755859375,204.97000122070312,169.74404907226562,117516800,0.0,0.0,0.0
2015-01-26 00:00:00-05:00,204.7100067138672,205.55999755859375,203.85000610351562,205.4499969482422,170.1415557861328,92009700,0.0,0.0,0.0
2015-01-27 00:00:00-05:00,202.97000122070312,204.1199951171875,201.74000549316406,202.74000549316406,167.89732360839844,134044600,0.0,0.0,0.0
2015-01-28 00:00:00-05:00,204.1699981689453,204.2899932861328,199.91000366210938,200.13999938964844,165.744140625,168514300,0.0,0.0,0.0
2015-01-29 00:00:00-05:00,200.3800048828125,202.3000030517578,198.67999267578125,201.99000549316406,167.2761993408203,173585400,0.0,0.0,0.0
2015-01-30 00:00:00-05:00,200.57000732421875,202.1699981689453,199.1300048828125,199.4499969482422,165.17271423339844,197729700,0.0,0.0,0.0
2015-02-02 00:00:00-05:00,200.0500030517578,202.02999877929688,197.86000061035156,201.9199981689453,167.21823120117188,163107000,0.0,0.0,0.0
2015-02-03 00:00:00-05:00,203.0,204.85000610351562,202.5500030517578,204.83999633789062,169.6363983154297,124212900,0.0,0.0,0.0
2015-02-04 00:00:00-05:00,203.9199981689453,205.3800048828125,203.50999450683594,204.05999755859375,168.9904022216797,134306700,0.0,0.0,0.0
2015-02-05 00:00:00-05:00,204.86000061035156,206.3000030517578,204.77000427246094,206.1199951171875,170.69639587402344,97953200,0.0,0.0,0.0
2015-02-06 00:00:00-05:00,206.55999755859375,207.24000549316406,204.9199981689453,205.5500030517578,170.2244110107422,125672000,0.0,0.0,0.0
2015-02-09 00:00:00-05:00,204.77000427246094,205.63999938964844,204.13999938964844,204.6300048828125,169.46250915527344,87219000,0.0,0.0,0.0
2015-02-10 00:00:00-05:00,205.8800048828125,207.1199951171875,204.67999267578125,206.80999755859375,171.267822265625,96164200,0.0,0.0,0.0
2015-02-11 00:00:00-05:00,206.61000061035156,207.4499969482422,205.8300018310547,206.92999267578125,171.36720275878906,91087800,0.0,0.0,0.0
2015-02-12 00:00:00-05:00,207.88999938964844,208.99000549316406,206.97000122070312,208.9199981689453,173.0152130126953,97545900,0.0,0.0,0.0
2015-02-13 00:00:00-05:00,209.07000732421875,209.83999633789062,208.75999450683594,209.77999877929688,173.72740173339844,93670400,0.0,0.0,0.0
2015-02-17 00:00:00-05:00,209.39999389648438,210.32000732421875,209.10000610351562,210.11000061035156,174.00071716308594,76968200,0.0,0.0,0.0
